district,hostels_boys,hostels_girls,hostels_total,students_registered_boys,students_registered_girls,students_registered_total
ADILABAD,1,2,3,34,85,119
BHADRADRI,5,4,9,200,175,375
HANUMAKONDA,4,5,9,257,377,634
HYDERABAD,14,10,24,1347,1204,2551
JAGITHYAL,1,2,3,45,139,184
JANGAON,2,2,4,91,52,143
JAYASHANKAR,1,1,2,26,21,47
JOGULAMBA-GADWAL,1,1,2,86,182,268
KAMAREDDY,2,2,4,95,157,252
KARIMNAGAR,3,6,9,226,984,1210
KHAMMAM,6,5,11,661,450,1111
KUMARAMBHEEM (ASIFABAD),1,2,3,6,46,52
MAHABUBABAD,2,2,4,50,49,99
MAHABUBNAGAR,2,4,6,515,780,1295
MANCHERIAL,4,4,8,223,262,485
MEDAK,2,2,4,142,59,201
MEDCHEL,3,2,5,319,67,386
MULUGU,0,0,0,0,0,0
NAGARKURNOOL,3,3,6,204,226,430
NALGONDA,7,8,15,375,669,1044
NARAYANPET,0,0,0,0,0,0
NIRMAL,2,3,5,74,83,157
NIZAMABAD,4,6,10,549,642,1191
PEDDAPALLI,2,2,4,52,49,101
RAJANNA (SIRISILLA),1,1,2,108,14,122
RANGAREDDY,7,7,14,789,599,1388
SANGAREDDY,5,5,10,389,195,584
SIDDIPET,2,4,6,366,388,754
SURYAPET,3,3,6,348,398,746
VIKARABAD,2,1,3,151,49,200
WANAPARTHY,2,2,4,225,175,400
WARANGAL,4,3,7,366,170,536
YADADRI,1,1,2,95,136,231
TOTAL,99,105,204,8414,8882,17296
