district,hostels_boys,hostels_girls,hostels_total,students_registered_boys,students_registered_girls,students_registered_total
ADILABAD,16,3,19,899,361,1260
BHADRADRI,15,7,22,886,464,1350
HANUMAKONDA,13,5,18,340,179,519
HYDERABAD,6,6,12,251,71,322
JAGITHYAL,12,5,17,475,189,664
JANGAON,9,4,13,234,177,411
JAYASHANKAR,6,7,13,308,332,640
JOGULAMBA-GADWAL,13,2,15,1242,308,1550
KAMAREDDY,21,5,26,1350,555,1905
KARIMNAGAR,18,5,23,1146,243,1389
KHAMMAM,25,14,39,1808,1135,2943
KUMARAMBHEEM (ASIFABAD),5,2,7,254,115,369
MAHABUBABAD,15,5,20,1369,472,1841
MAHABUBNAGAR,14,4,18,1386,532,1918
MANCHERIAL,14,3,17,876,220,1096
MEDAK,14,7,21,960,348,1308
MEDCHEL,5,2,7,162,96,258
MULUGU,5,2,7,272,162,434
NAGARKURNOOL,24,5,29,2324,721,3045
NALGONDA,28,18,46,1670,1284,2954
NARAYANPET,9,4,13,1291,597,1888
NIRMAL,11,4,15,625,200,825
NIZAMABAD,25,7,32,1935,581,2516
PEDDAPALLI,12,4,16,279,139,418
RAJANNA (SIRISILLA),7,2,9,361,50,411
RANGAREDDY,24,10,34,1739,827,2566
SANGAREDDY,28,9,37,2699,736,3435
SIDDIPET,17,8,25,1361,446,1807
SURYAPET,25,8,33,1314,592,1906
VIKARABAD,16,6,22,1266,403,1669
WANAPARTHY,12,4,16,1058,420,1478
WARANGAL,7,2,9,271,129,400
YADADRI,11,8,19,695,759,1454
TOTAL,482,187,669,33106,13843,46949
