scheme_id,scheme_name,department,target_group,description,head_of_account
SCH01,Post-Matric Scholarships (RTF & MTF),SC Development Department / Backward Classes / Minority / Tribal Welfare,"SC, ST, BC, EBC, Minorities, Differently-Abled",Reimbursement of tuition fee and monthly maintenance grant for post-matric higher education,2225-01-277-25-05-340 / 2225-01-277-25-04-340
SCH02,Ambedkar Overseas Vidya Nidhi,SC Development Department / Tribal Welfare,"SC, ST Students",Financial assistance to pursue Master's and Doctoral studies abroad,2225-01-277-25-34-340
SCH03,Chief Minister's Overseas Scholarship Scheme for Minorities,Minorities Welfare Department,Minority Students,Financial assistance to pursue overseas Master's and Doctoral programs,N/A
SCH04,Mahatma Jyothiba Phule BC Overseas Vidya Nidhi,BC Welfare Department,"BC, EBC Students",Scholarship grant to pursue postgraduate and research degrees abroad,N/A
SCH05,Skill Up-gradation Programme,SC Development Department,SC Students,Free coaching in English proficiency (GRE/GMAT/TOEFL/IELTS/PTE) for admission abroad,2225-01-277-25-34-340
SCH06,Book Bank Scheme,SC Development Department,SC Students,Supply of essential professional course textbooks to college libraries for SC students,2225-01-277-25-34-340
SCH07,Pre-Matric Scholarships for Classes IX & X,SC Development Department,SC Students,Incentive scholarship for students studying in Classes IX and X,2225-01-277-25-33-340 / 2225-01-277-12-19
SCH08,Pre-Matric Scholarships for Classes V - VIII,SC Development Department,SC Students,Modest monthly incentive to curb dropouts among school children in Classes V to VIII,2225-01-277-25-33-340
SCH09,Scholarships to Children of Persons Engaged in Unclean Occupations,SC Development Department,Children of persons in scavenging/tanning/flaying/sweeping,Educational assistance and ad-hoc grant for day boarders,2225-01-MH-277-25-SH-33-340 / 2225-01-MH-277-12-SH-19
SCH10,Best Available Schools (BAS),SC Development Department,SC Students,Quality education sponsorship in reputed private residential/non-residential schools,2225-01-MH-277-25-SH-33-340
SCH11,Hyderabad Public Schools Scheme (Begumpet & Ramanthapur),SC Development Department,SC Students,Tuition fee and allowance support for Class I admissions to HPS,2225-01-MH-277-25-SH-33-340
SCH12,Financial Aid to SC Advocates,SC Development Department,SC Law Graduates,36-month legal training with monthly stipend and furniture/book allowance,2225-01-MH-277-25(SSS)-SH-34-340
SCH13,Corporate Colleges Scheme,SC Development Department,"SC, ST, BC, Minorities",Access to quality Intermediate education and competitive coaching in reputed private colleges,2225-01-MH-277-25(SSS)-SH-03-340 / 2225-01-277-25-06-340
SCH14,Pre-Matric Hostels (Government Hostels / Ananda Nilayams),SC Development Department,"SC, ST, BC, Minorities, Others (Classes III-X)",Free lodging and boarding facilities to reduce school-level dropouts,2225-01-MH-277-25-SH-07
SCH15,Post-Matric Hostels (DAHS),SC Development Department,"SC, ST, BC, Minorities, Others (College Students)",Free boarding and lodging for students pursuing post-matric courses,2225-01-MH-277-25-SH-18
SCH16,Additional Facilities to Students of SC Hostels,SC Development Department,Pre- and Post-Matric SC Hostel Boarders,"Supply of bedding materials, shoes, uniforms, bags, and entrance coaching",2225-01-MH-277-25-SH22-310-312
SCH17,Kalyana Lakshmi Pathakam,Revenue / Welfare Departments,"Unmarried SC, ST, BC, EBC girls",One-time financial assistance at the time of marriage to ease wedding expenses,2225-01-MH-800-25-SH13-310-312
SCH18,Shaadi Mubarak,Minorities Welfare Department,Unmarried Minority girls,One-time marriage financial assistance,N/A
SCH19,Promotion of Inter-Caste Marriages,SC Development Department,Inter-caste married couples (one SC spouse),Financial incentive awarded as Fixed Deposit for social integration,2235-60-MH-200-25-SH05-500-503
SCH20,Free Power to SC Households,SC Development Department,SC Domestic Consumers,Reimbursement of electricity bills for consumption up to 100-101 units/month,2225-01-102-25-08-330-000
SCH21,Land Acquisition for House Sites,SC Development Department,Weaker Sections (SC/ST/BC/Minorities),Distribution of house sites (up to 150 sq. yards) under Indiramma Programme,2225-01-283-25-SH08-310-312
SCH22,Monetary Relief & Legal Aid to Victims of Atrocities,SC Development Department / Police,"SC, ST Atrocity Victims",Relief and rehabilitation payouts according to SC/ST (PoA) Act rules,2225-01-MH-800-25-SH04-310-312 / 2225-01-800-12-04-310-312
SCH23,Telangana SC Study Circles,SC Development Department,"Meritorious SC, ST, BC, Minority Graduates",Free residential coaching for UPSC Civil Services and State/Banking exams,2225-80-800-25-27-310-312
SCH24,Crucial Welfare Fund,SC Development Department,SC Persons,Emergency financial assistance for unaddressed situations in sports/education,2225-01-102-25-06-500-503
