source_id,document_title,issuing_department_or_authority,reference_go_or_act,web_url
SRC01,Telangana ePASS Post Matric Scholarship Reference Manual,Welfare Departments / Centre for Good Governance,G.O.Ms.No.60 & G.O.Ms.No.32 SW(Edn.2) Dept,https://telanganaepass.cgg.gov.in
SRC02,SC Development Department Scheme Guidelines (Chapter 12),SC Development Department Telangana,"G.O.Ms.No.90, G.O.Ms.No.143, G.O.Ms.No.66",https://telanganaepass.cgg.gov.in
SRC03,Ambedkar Overseas Vidya Nidhi Guidelines,SC Development Department,"G.O.Ms.No.54, G.O.Ms.No.22, G.O.Ms.No.2",https://telanganaepass.cgg.gov.in
SRC04,Corporate College Scheme Administrative Rules,SC Development Department,G.O.Ms.No.235 SCD (Edn.2) Dept dt 28-03-2011,https://telanganaepass.cgg.gov.in
SRC05,Financial Aid to SC Advocates Rules,SC Development Department,"G.O.Ms.No.77, G.O.Ms.No.160, G.O.Ms.No.109",https://telanganaepass.cgg.gov.in
SRC06,Government Welfare Hostels Manual & Diet Rates,SC Development Department,"G.O.Ms.No.126, G.O.Ms.No.34, G.O.Ms.No.10",https://swhostels.cgg.gov.in
SRC07,Kalyana Lakshmi Pathakam Guidelines,Revenue / SC Development Department,"G.O.Ms.No.12, G.O.Ms.No.14, G.O.Ms.No.107",https://telanganaepass.cgg.gov.in
SRC08,Inter-Caste Marriage Incentive Guidelines,SC Development Department,"G.O.Ms.No.546, G.O.Ms.No.149, G.O.Ms.No.12",https://telanganaepass.cgg.gov.in
SRC09,Free Electricity to SC Households Operational Rules,SC Development Department,G.O.Rt.No.342 SCD (SCP) Dept dt 24-08-2018,https://telanganaepass.cgg.gov.in
SRC10,SC & ST (Prevention of Atrocities) Rules & Relief Table,Social Welfare / Police Department,G.O.Ms.No.29 SCD (POA.A1) Dept dt 03-08-2016,https://telanganaepass.cgg.gov.in
SRC11,Telangana State SC Study Circle Operational Manual,TSSCSC Hyderabad,"G.O.Ms.No.113, G.O.Rt.No.160, G.O.Rt.No.124",https://www.tsstudycircle.co.in
SRC12,Best Available Schools & HPS Admission Norms,SC Development Department,"G.O.Ms.No.101, G.O.Ms.No.52, G.O.Rt.No.598",https://telanganaepass.cgg.gov.in
SRC13,SC Development Department Chapter 17 FAQ Compendium,SC Development Department Telangana,Section 4(1)(b)(17) RTI Manual,https://telanganaepass.cgg.gov.in
